run_id,run_number,started_at,profile_id,profile_name,host_os,host_arch,implementation,language,variant,case_id,warmup,repeat_index,iterations,parallel_chains,loop_trip_count,remainder,timer_kind,elapsed_ns,ns_per_iteration,ns_per_add,legacy_cycles,legacy_cycles_per_iteration,legacy_cycles_per_add,result_checksum,requested_priority_mode,requested_affinity_mode,applied_priority_mode,applied_affinity_mode,scheduler_notes,pid,tid,runtime_name,runtime_source,status,log_file,raw_file,error_message,platform_extras_json
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,single_chain,true,1,80000,1,80000,0,clock_gettime_ns,303000,3.7875,1.89375,,,,9186729751396195397,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,128,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__single_chain__warmup_1.log,runs/run01_20_03_15_04_26/raw/c_native__single_chain__warmup_1.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,single_chain,false,1,80000,1,80000,0,clock_gettime_ns,6063000,75.7875,37.89375,,,,9186729751396195397,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,129,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_1.log,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_1.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,single_chain,false,2,80000,1,80000,0,clock_gettime_ns,369000,4.6125,2.30625,,,,9186729751396195397,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,130,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_2.log,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_2.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,single_chain,false,3,80000,1,80000,0,clock_gettime_ns,313000,3.9125,1.95625,,,,9186729751396195397,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,131,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_3.log,runs/run01_20_03_15_04_26/raw/c_native__single_chain__repeat_3.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,four_chains,true,1,240000,4,60000,0,clock_gettime_ns,76000,0.316667,0.158333,,,,3649847962422346036,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,132,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__four_chains__warmup_1.log,runs/run01_20_03_15_04_26/raw/c_native__four_chains__warmup_1.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,four_chains,false,1,240000,4,60000,0,clock_gettime_ns,76000,0.316667,0.158333,,,,3649847962422346036,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,133,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_1.log,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_1.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,four_chains,false,2,240000,4,60000,0,clock_gettime_ns,76000,0.316667,0.158333,,,,3649847962422346036,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,134,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_2.log,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_2.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,four_chains,false,3,240000,4,60000,0,clock_gettime_ns,76000,0.316667,0.158333,,,,3649847962422346036,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,135,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_3.log,runs/run01_20_03_15_04_26/raw/c_native__four_chains__repeat_3.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,eight_chains,true,1,480000,8,60000,0,clock_gettime_ns,106000,0.220833,0.110417,,,,6231199587631017438,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,136,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__eight_chains__warmup_1.log,runs/run01_20_03_15_04_26/raw/c_native__eight_chains__warmup_1.log,,"{""counter_frequency"": 0}"
run01_20_03_15_04_26,1,2026-04-15T20:03:37,balanced,Balanced,macos,arm64,c_native,c,native,eight_chains,false,1,480000,8,60000,0,clock_gettime_ns,106000,0.220833,0.110417,,,,6231199587631017438,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,137,8235830272,native,bundled,success,runs/run01_20_03_15_04_26/raw/c_native__eight_chains__repeat_1.log,runs/run01_20_03_15_04_26/raw/c_native__eight_chains__repeat_1.log,,"{""counter_frequency"": 0}"
